运行NCCL性能测试 (使用 2 个GPU)
| 操作 | 大小(B) | 延迟(us) | 带宽(GB/s) | 吞吐量(GB/s) |
|------|---------|----------|------------|-------------|
| AllReduce | 8 | 15.2513 | 0.0010093 | 0.000524545 |
| Broadcast | 8 | 13.0209 | 0.000572203 | 0.000614398 |
| AllReduce | 64 | 14.3311 | 0.008359 | 0.00446581 |
| Broadcast | 64 | 12.9189 | 0.00461377 | 0.004954 |
| AllReduce | 256 | 14.5071 | 0.0332962 | 0.0176465 |
| Broadcast | 256 | 12.9773 | 0.018372 | 0.0197268 |
| AllReduce | 1024 | 14.3687 | 0.132809 | 0.0712659 |
| Broadcast | 1024 | 13.7715 | 0.0692498 | 0.0743564 |
| AllReduce | 4096 | 14.8477 | 0.514338 | 0.275867 |
| Broadcast | 4096 | 14.1674 | 0.26926 | 0.289115 |
| AllReduce | 16384 | 16.9864 | 1.79244 | 0.964534 |
| Broadcast | 16384 | 16.4064 | 0.930051 | 0.998635 |
| AllReduce | 65536 | 22.4286 | 5.44627 | 2.92199 |
| Broadcast | 65536 | 21.1756 | 2.88234 | 3.09489 |
| AllReduce | 262144 | 46.0743 | 10.5719 | 5.68959 |
| Broadcast | 262144 | 43.6943 | 5.58747 | 5.9995 |
| AllReduce | 1048576 | 99.1857 | 19.6104 | 10.5718 |
| Broadcast | 1048576 | 102.648 | 9.51371 | 10.2153 |
| AllReduce | 4194304 | 294.094 | 26.5409 | 14.2618 |
| Broadcast | 4194304 | 272.637 | 14.3277 | 15.3842 |
| AllReduce | 16777216 | 1046.55 | 29.7467 | 16.031 |
| Broadcast | 16777216 | 756.495 | 20.6545 | 22.1776 |
